label,net_pnl,total_return_pct,sharpe,max_dd_pct,filled,fill_rate,tp_count,win_rate,settled,profit_factor,avg_win,avg_loss,p_buy_price,p_sell_price,p_entry_cutoff_seconds,p_risk_pct,p_stop_loss_price,p_trailing_stop_trigger,p_trailing_stop_floor,p_vix_min,p_weekend_size_mult,p_single_side,p_max_daily_loss_pct
BASELINE,4567.309999999995,456.7309999999995,0.9411281042522316,31.335255724004597,609,20.4,227,37.3,386,1.21,106.73140794223829,-63.22176165803109,0.1,0.33,360,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
SL=0.04,4150.07,415.00699999999995,0.9529401336916012,18.550355428514912,618,20.7,170,27.5,0,1.36,90.92170984455959,0.0,0.1,0.33,360,0.02,0.04,0.0,0.0,0.0,1.0,both,0.2
SL=0.05,3437.549999999994,343.75499999999937,0.9053137039246704,18.821668259024413,618,20.7,150,24.3,0,1.39,83.31878048780489,0.0,0.1,0.33,360,0.02,0.05,0.0,0.0,0.0,1.0,both,0.2
SL=0.06,2668.459999999997,266.8459999999997,0.8354810149767219,15.15778803065759,618,20.7,128,20.7,0,1.41,77.04757352941178,0.0,0.1,0.33,360,0.02,0.06,0.0,0.0,0.0,1.0,both,0.2
VIX>=18,5264.25000000001,526.425000000001,1.3420041268889327,30.441276080704366,414,13.8,166,40.1,251,1.27,122.9265765765766,-85.63466135458167,0.1,0.33,360,0.02,0.0,0.0,0.0,18.0,1.0,both,0.2
VIX>=20,1690.2499999999995,169.02499999999995,1.1030527793485438,33.29093113734593,284,9.5,107,37.7,177,1.23,88.89163793103447,-47.54406779661018,0.1,0.33,360,0.02,0.0,0.0,0.0,20.0,1.0,both,0.2
VIX>=22,11.820000000000505,1.1820000000000506,0.2528605651261634,31.29536704442828,143,4.8,46,32.2,97,1.03,48.23434782608696,-22.235051546391748,0.1,0.33,360,0.02,0.0,0.0,0.0,22.0,1.0,both,0.2
TP=0.28,3110.9799999999987,311.0979999999999,0.8330156068370593,37.71487789874946,617,20.6,262,42.5,363,1.17,79.47739682539684,-58.84600550964187,0.1,0.28,360,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
TP=0.3,2987.8999999999933,298.78999999999934,0.8197224596452918,33.882118875901554,609,20.4,240,39.4,372,1.18,82.6132967032967,-51.29247311827958,0.1,0.3,360,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
TP=0.35,6145.929999999996,614.5929999999995,1.0345405458659966,29.078145811043864,609,20.4,222,36.5,394,1.23,129.1691039426523,-74.10685279187818,0.1,0.35,360,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2
