spread_mean,spread_min,vol_early,vol_bar1,oi_bar4,rvol_4bar,price_mid_bar4,imbalance_bar4,range_early,price_level_abs50,vol_total,rvol_full,n_bars,market,pnl,won
0.015000000000000006,,47334,8803,15377,0.3314399177071531,0.235,-53.0000000000001,0.71,0.265,146699,0.5355259934702511,15,KXBTC15M-26MAR030945-45,471.2000000000001,1
0.017500000000000016,,33039,5635,22764,0.2083790860238538,0.86,35.999999999999964,0.47000000000000003,0.36,84164,0.114600744814963,15,KXBTC15M-26MAR031045-45,-88.2,0
0.017500000000000005,,38401,5795,21470,0.33185272798226284,0.07500000000000001,-85.00000000000006,0.43,0.425,102296,0.42404135709872304,15,KXBTC15M-26MAR031145-45,-139.70000000000002,0
0.010000000000000009,,31884,10146,15991,0.10177979855068171,0.925,84.99999999999993,0.38,0.42500000000000004,88378,0.0548256163245892,15,KXBTC15M-26MAR031200-00,-217.2,0
0.010000000000000002,,32881,10107,14733,0.202196943392773,0.08499999999999999,-83.00000000000004,0.42,0.41500000000000004,116478,0.6602021933321186,15,KXBTC15M-26MAR031245-45,-141.7,0
0.010000000000000009,,45166,16073,25773,0.10582388428257912,0.845,68.99999999999993,0.54,0.345,107179,0.05463978915936686,15,KXBTC15M-26MAR031330-30,-300.40000000000003,0
0.009999999999999981,,43627,9087,24486,0.1340112488332685,0.855,70.99999999999993,0.62,0.355,137934,0.11774420019584673,15,KXBTC15M-26MAR031345-45,-158.3,0
0.012500000000000011,,59205,7744,37916,0.28714201726522265,0.975,94.99999999999991,0.61,0.475,164015,0.15503539906943847,15,KXBTC15M-26MAR031715-15,-291.0,0
0.015000000000000013,,65371,6823,32924,0.18327712041997105,0.885,76.99999999999993,0.5900000000000001,0.385,138645,0.12329794185710527,15,KXBTC15M-26MAR032045-45,-175.9,0
0.015000000000000013,,44557,5888,22062,0.03336932473262243,0.85,34.999999999999964,0.48000000000000004,0.35,150769,0.09214791277487386,15,KXBTC15M-26MAR032200-00,-190.6,0
0.010000000000000009,,63482,15894,33547,0.2599879640322459,0.065,-86.99999999999991,0.63,0.435,165916,0.4198757903707001,15,KXBTC15M-26MAR032245-45,-277.70000000000005,0
0.012499999999999983,,43590,17252,16172,0.4181241920603402,0.385,-22.99999999999998,0.61,0.11499999999999999,226854,0.253094996903902,15,KXBTC15M-26MAR040100-00,510.25,1
0.017500000000000016,,61323,7781,41568,0.2050081727044733,0.97,46.99999999999996,0.59,0.47,113412,0.13367634667935588,15,KXBTC15M-26MAR040300-00,-282.2,0
0.010000000000000009,,55008,9227,25332,0.14567305012390905,0.965,92.99999999999991,0.54,0.46499999999999997,106046,0.08821417051012934,15,KXBTC15M-26MAR040400-00,-276.40000000000003,0
