market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN080845-45,yes,settlement,21,0.1,0.0,-2.1,1390.0200000000073,,False
KXBTC15M-26JAN080915-15,yes,buy_fill,17,0.1,,-1.7300000000000002,1388.2900000000072,1767881040.0,
KXBTC15M-26JAN080915-15,yes,settlement,17,0.1,0.0,-1.7000000000000002,1388.2900000000072,,False
KXBTC15M-26JAN080945-45,no,buy_fill,7,0.1,,-0.7200000000000001,1387.5700000000072,1767882660.0,
KXBTC15M-26JAN080945-45,no,sell_fill,7,0.1,0.4,2.0700000000000007,1390.3400000000072,1767882720.0,
KXBTC15M-26JAN081000-00,no,buy_fill,139,0.1,,-14.120000000000001,1376.2200000000073,1767883680.0,
KXBTC15M-26JAN081000-00,no,settlement,139,0.1,0.0,-13.9,1376.2200000000073,,False
KXBTC15M-26JAN081200-00,yes,buy_fill,16,0.1,,-1.6300000000000001,1374.5900000000072,1767890760.0,
KXBTC15M-26JAN081200-00,yes,sell_fill,16,0.1,0.4,4.73,1380.9200000000071,1767890820.0,
KXBTC15M-26JAN081300-00,yes,buy_fill,20,0.1,,-2.04,1378.8800000000072,1767894360.0,
KXBTC15M-26JAN081300-00,yes,sell_fill,20,0.1,0.4,5.910000000000001,1386.7900000000072,1767894420.0,
KXBTC15M-26JAN081330-30,yes,buy_fill,19,0.1,,-1.9300000000000002,1384.8600000000072,1767896160.0,
KXBTC15M-26JAN081330-30,yes,sell_fill,19,0.1,0.4,5.620000000000001,1392.3800000000072,1767896220.0,
KXBTC15M-26JAN081430-30,yes,buy_fill,73,0.1,,-7.420000000000001,1384.960000000007,1767899820.0,
KXBTC15M-26JAN081430-30,yes,buy_fill,66,0.1,,-6.710000000000001,1378.250000000007,1767899880.0,
KXBTC15M-26JAN081430-30,yes,settlement,139,0.10000000000000002,0.0,-13.900000000000002,1378.250000000007,,False
KXBTC15M-26JAN081500-00,yes,buy_fill,39,0.1,,-3.97,1374.280000000007,1767901560.0,
KXBTC15M-26JAN081500-00,yes,sell_fill,39,0.1,0.4,11.530000000000001,1389.710000000007,1767901860.0,
KXBTC15M-26JAN081515-15,yes,buy_fill,25,0.1,,-2.54,1387.1700000000071,1767902640.0,
KXBTC15M-26JAN081515-15,yes,settlement,25,0.1,0.0,-2.5,1387.1700000000071,,False
KXBTC15M-26JAN081630-30,yes,buy_fill,14,0.1,,-1.4300000000000002,1385.740000000007,1767906960.0,
KXBTC15M-26JAN081630-30,yes,sell_fill,14,0.1,0.4,4.1400000000000015,1391.280000000007,1767907020.0,
