market,first_plot_ts,last_plot_ts,open_ts,open_day,hour_utc,start_br,end_br,contrib,pnl_exit,first_buy_ts,first_second_fill,fill_first_minute,has_open_ts
KXBTC15M-26JAN121545-45,1768250040.0,1768250100.0,1768249800,2026-01-12,20,1487.7000000000085,1479.0600000000084,-8.6400000000001,-8.5,1768250040.0,False,False,True
KXBTC15M-26JAN121700-00,1768254480.0,1768254600.0,1768254300,2026-01-12,21,1479.0600000000084,1469.6000000000083,-9.460000000000036,-9.3,1768254480.0,False,False,True
KXBTC15M-26JAN121715-15,1768255380.0,1768255440.0,1768255200,2026-01-12,22,1469.6000000000083,1460.6600000000085,-8.939999999999827,-8.8,1768255380.0,False,False,True
KXBTC15M-26JAN121800-00,1768258140.0,1768258260.0,1768257900,2026-01-12,22,1460.6600000000085,1468.8900000000085,8.230000000000018,8.280000000000003,1768258140.0,False,False,True
KXBTC15M-26JAN121830-30,1768259760.0,1768259820.0,1768259700,2026-01-12,23,1468.8900000000085,1472.1200000000083,3.229999999999791,3.250000000000001,1768259760.0,False,True,True
KXBTC15M-26JAN121845-45,1768260660.0,1768260720.0,1768260600,2026-01-12,23,1472.1200000000083,1479.4700000000084,7.350000000000136,7.390000000000001,1768260660.0,False,True,True
KXBTC15M-26JAN122100-00,1768268760.0,1768268820.0,1768268700,2026-01-13,1,1479.4700000000084,1482.4000000000085,2.9300000000000637,2.9500000000000006,1768268760.0,False,True,True
KXBTC15M-26JAN122145-45,1768271460.0,1768271520.0,1768271400,2026-01-13,2,1482.4000000000085,1485.9200000000085,3.519999999999982,3.5399999999999996,1768271460.0,False,True,True
KXBTC15M-26JAN130015-15,1768280520.0,1768280700.0,1768280400,2026-01-13,5,1485.9200000000085,1552.9900000000084,67.06999999999994,67.44000000000001,1768280520.0,False,False,True
KXBTC15M-26JAN130030-30,1768281420.0,1768281540.0,1768281300,2026-01-13,5,1552.9900000000084,1590.3300000000083,37.33999999999992,37.55000000000001,1768281420.0,False,False,True
KXBTC15M-26JAN130045-45,1768282380.0,1768282500.0,1768282200,2026-01-13,5,1590.3300000000083,1558.0200000000084,-32.309999999999945,-31.8,1768282380.0,False,False,True
KXBTC15M-26JAN130100-00,1768283160.0,1768283220.0,1768283100,2026-01-13,5,1558.0200000000084,1561.2500000000084,3.230000000000018,3.250000000000001,1768283160.0,False,True,True
KXBTC15M-26JAN130115-15,1768284240.0,1768284360.0,1768284000,2026-01-13,6,1561.2500000000084,1637.7400000000082,76.48999999999978,76.90000000000002,1768284240.0,False,False,True
KXBTC15M-26JAN130415-15,1768295040.0,1768295100.0,1768294800,2026-01-13,9,1637.7400000000082,1618.0300000000082,-19.710000000000036,-19.4,1768295040.0,False,False,True
KXBTC15M-26JAN130615-15,1768302060.0,1768302120.0,1768302000,2026-01-13,11,1618.0300000000082,1618.3100000000084,0.2800000000002001,0.29,1768302060.0,False,True,True
KXBTC15M-26JAN130815-15,1768309440.0,1768309740.0,1768309200,2026-01-13,13,1618.3100000000084,1639.1900000000082,20.87999999999988,21.000000000000004,1768309440.0,False,False,True
KXBTC15M-26JAN130845-45,1768311180.0,1768311720.0,1768311000,2026-01-13,13,1639.1900000000082,1735.080000000008,95.88999999999987,96.41000000000003,1768311180.0,False,False,True
KXBTC15M-26JAN130900-00,1768311960.0,1768312080.0,1768311900,2026-01-13,13,1735.080000000008,1742.7100000000082,7.630000000000109,7.680000000000001,1768311960.0,False,True,True
KXBTC15M-26JAN130915-15,1768313040.0,1768313100.0,1768312800,2026-01-13,14,1742.7100000000082,1726.4500000000082,-16.25999999999999,-16.0,1768313040.0,False,False,True
KXBTC15M-26JAN131015-15,1768316640.0,1768316880.0,1768316400,2026-01-13,15,1726.4500000000082,1737.9100000000085,11.460000000000264,11.53,1768316640.0,False,False,True
KXBTC15M-26JAN131045-45,1768318440.0,1768318500.0,1768318200,2026-01-13,15,1737.9100000000085,1731.7100000000082,-6.200000000000273,-6.1000000000000005,1768318440.0,False,False,True
KXBTC15M-26JAN131230-30,1768324560.0,1768325100.0,1768324500,2026-01-13,17,1731.7100000000082,1779.950000000008,48.23999999999978,48.5,1768324560.0,False,True,True
KXBTC15M-26JAN131330-30,1768328160.0,1768328220.0,1768328100,2026-01-13,18,1779.950000000008,1784.350000000008,4.400000000000091,4.430000000000001,1768328160.0,False,True,True
